county_name,state_name,date,AQI,Arithmetic Mean_NONOxNOy,Arithmetic Mean_VOCS,Arithmetic Mean_HAPS,Arithmetic Mean_RH_DP,Arithmetic Mean_PRESS,Arithmetic Mean_TEMP,Arithmetic Mean_WIND,Arithmetic Mean_81102,Arithmetic Mean_88101,Arithmetic Mean_42602,Arithmetic Mean_42101,Arithmetic Mean_42401,Arithmetic Mean_44201
Imperial,California,2002-01-02,0.9629629629629629,2.301402798143674,0.5847964512378242,1.8881075926556772,-0.03212330685656744,0.5238227331048213,-0.4429828288102665,-0.2063340471079046,0.9513725490196078,3.443675267463813,0.37133830636573445,3.4590398213448688,-0.386220378072931,-0.9884930902681743
Imperial,California,2002-01-26,0.42592592592592593,1.8288334973301656,-0.10864894388705687,0.5668460843392259,-1.0693128331485282,0.502613285099181,-0.6328326465954681,0.18147272277020982,1.8329411764705883,0.3692049507027481,0.6801572782808768,2.268379825113264,-0.4511946119669146,-0.905635245118376
Imperial,California,2002-02-07,0.8333333333333334,4.0684040349657415,0.16350644742478432,0.6462160915194595,-1.0942719399300804,0.5339117513484313,-0.46909974771611973,-0.3323116669192985,1.8454901960784316,1.2922173274596183,1.30740437383372,4.934689379710006,-0.20757650322495874,-0.5495658901976535
Imperial,California,2002-02-19,0.05555555555555555,0.9133409752243877,-0.22778266147912102,0.25465426954008774,-0.5077329305636052,0.5308362891237014,-0.46307277013906284,-0.340823670797703,1.1788235294117648,0.15775120620935593,0.5793161839078041,1.0919327424559961,-0.28599852308755047,-0.4353909947747078
Imperial,California,2002-03-03,-0.46296296296296297,-0.40747324685604847,-0.571463358015778,-0.3467630681810068,-1.5657217457856685,0.5597906534242784,-0.6750214655269563,0.6326087812382839,-0.029019607843137278,-0.6444304594084329,-0.44301156831183774,-0.5578360178444095,-0.47384339470067627,-0.1697112089492259
Imperial,California,2002-03-15,-0.2777777777777778,-0.6093552285126067,-0.6361933153270358,-0.4212777462073788,-1.0401938752367175,0.5013755984781623,-0.4510188149849491,-0.4612401101658204,0.15921568627450994,-0.5638766519823788,-0.8848728861563756,-0.680026243424635,-0.47387985956450324,0.5976542219921708
Imperial,California,2002-04-20,-0.2222222222222222,-0.477338711998794,-0.602250723236199,-0.3339169202028381,-1.249573059886008,0.5035884291334702,0.017076427427861363,0.7667579221580593,0.07294117647058827,-0.6746381371932033,-0.6939545934903755,-0.5866761206857122,-0.47256940352071963,0.332471814163086
Imperial,California,2002-05-02,0.4444444444444444,-0.6359044138240085,-0.6639688730802419,-0.468204794969159,-0.938970853252962,0.4921304529754774,0.14163397205634004,1.6795849232497073,0.2847058823529412,-0.49339207048458145,-0.9609128884755529,-0.5714667433191394,-0.41254983299923276,0.5683178019546764
Imperial,California,2002-05-14,0.7222222222222222,-0.6522913402767113,-0.6322253785051494,-0.3552218705382163,-1.5546288205312484,0.4593505118462962,1.0205681940078315,1.7279330843599523,0.8258823529411765,-0.19131529263687855,-0.9690862054164515,-0.18665921933851784,-0.5027210598922901,0.9753239927564256
Imperial,California,2002-05-26,0.5370370370370371,-0.6743559139336083,-0.6202737615717561,-0.3206378874567347,-0.9985953639341307,0.474877853091805,0.6710034945385326,-0.7078611551348402,0.9278431372549019,-0.5336689741976085,-1.0469536638437704,-0.2707677368146439,-0.4902642065981814,0.8034266045016072
Imperial,California,2002-06-07,0.3888888888888889,-0.5387418211303722,-0.5539183843575566,-0.17239240382160217,-1.0845656428120165,0.4521119173956428,1.1963550721492047,-0.5733715396165628,1.1905882352941177,-0.025173064820641907,-0.7750351199635384,0.23310115314074886,-0.4448738836332981,0.6205691368261812
Imperial,California,2002-06-19,1.1851851851851851,-0.5654269874095078,-0.5783751667981003,-0.3474600293710792,-1.3397031566153432,0.4481550737743536,1.2566248479197735,-0.4824633754573355,1.6886274509803918,0.3255716383469686,-0.8717795341605769,-0.11734396842806336,-0.4167963942972885,0.5634239577401262
Imperial,California,2002-07-01,0.46296296296296297,-0.5112344978121635,-0.5484642899517785,-0.07656107587152944,-1.0374206522428147,0.4818914091106851,1.2425618841680337,-0.1086162847488662,1.2180392156862747,0.03356408642752243,-0.7351424824590963,-0.35851940298973084,-0.47157847084622034,0.7527384576187792
Imperial,California,2002-07-13,0.6666666666666666,-0.6428059601132365,-0.5820743153105558,-0.21510760078726152,-0.4592013451368568,0.4603819143633598,1.363101435709171,-0.8682272650583543,1.108235294117647,0.10740507656807194,-0.9727310832253686,-0.30068825965167173,-0.4663412047790642,0.322248919987138
Imperial,California,2002-07-25,-0.018518518518518517,-0.6227472660300027,-0.595792693008016,-0.2184068846942229,-0.5188258890968342,0.4900676434406721,1.2927866892742037,-1.1201824965096212,1.6729411764705882,0.0033564086427522425,-0.9751609848289379,-0.6869088170024984,-0.41906131815174436,-0.18455261309171853
Imperial,California,2002-08-06,-0.25925925925925924,-0.6324706324357421,-0.5244114010555652,-0.220758501947057,-0.5188258890968342,0.48611079531870377,1.060748076665425,-1.2485434793681334,0.5984313725490196,-0.27522550870568496,-1.0191201992873151,-0.7210675223960056,-0.4820539146021283,-0.030942747954429833
Imperial,California,2002-08-18,2.7962962962962963,-0.7054978935728099,-0.648974270548503,-0.22132327298335502,-0.23456938410288747,0.46535141517525225,1.1250358214154246,-0.7953645324514429,8.002352941176472,1.1025802391441155,-1.1617114650915077,-0.22912913010041408,-0.44043633761094836,0.30761179609316575
